type,sample,value,offset,duration,subject
200,368250,"MSG	10910915 200",,,28
10,369254,"MSG	10911919 10",,,28
TRIAL_RESULT,370164,"MSG	10912829 TRIAL_RESULT 0",,,28
!CAL,372274,"MSG	10960098 !CAL ",,,28
!CAL,372274,"MSG	10960098 !CAL Calibration points:  ",,,28
!CAL,372274,"MSG	10960098 !CAL  3.5, -46.8         0,   -711   ",,,28
!CAL,372274,"MSG	10960098 !CAL -11.7, -47.6     -2478,   -711   ",,,28
!CAL,372274,"MSG	10960099 !CAL  20.0, -46.1      2478,   -711   ",,,28
!CAL,372274,"MSG	10960099 !CAL eye check box: (L,R,T,B)",,,28
!CAL,372274,"MSG	10960099 !CAL href cal range: (L,R,T,B)",,,28
!CAL,372274,"MSG	10960099 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,28
!CAL,372274,"MSG	10960099 !CAL Prerotate (eye, ref : cos, sin:  0.99878  0.049479       1     0",,,28
!CAL,372274,"MSG	10960099 !CAL Gains: cx:156.252 lx:170.208 rx:142.310",,,28
!CAL,372274,"MSG	10960099 !CAL Gains: cy:348.165 ty:348.165 by:348.165",,,28
!CAL,372274,"MSG	10960099 !CAL Resolution (upd) at screen center: X=1.7, Y=0.8",,,28
!CAL,372274,"MSG	10960099 !CAL Gain Change Proportion: X: 0.196 Y: 0.000",,,28
!CAL,372274,"MSG	10960099 !CAL Gain Ratio (Gy/Gx) = 2.228",,,28
!CAL,372274,"MSG	10960099 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,28
!CAL,372274,"MSG	10960099 !CAL PCR gain ratio(x,y) = 2.264, 2.264",,,28
!CAL,372274,"MSG	10960100 !CAL CR gain match(x,y) = 1.010, 1.010",,,28
!CAL,372274,"MSG	10960100 !CAL Slip rotation correction OFF",,,28
!CAL,372274,"MSG	10960104 !CAL CALIBRATION H3 L LEFT    GOOD ",,,28
!CAL,372274,"MSG	10965812 !CAL VALIDATION H3 L LEFT  GOOD ERROR 0.12 avg. 0.18 max  OFFSET 0.09 deg. 4.5,0.0 pix.",,,28
VALIDATE,372274,"MSG	10965812 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.13 deg.  6.5,0.0 pix.",,,28
VALIDATE,372274,"MSG	10965812 VALIDATE L POINT 1  LEFT  at 61,200  OFFSET 0.04 deg.  -1.7,0.0 pix.",,,28
VALIDATE,372274,"MSG	10965812 VALIDATE L POINT 2  LEFT  at 962,200  OFFSET 0.18 deg.  8.6,0.0 pix.",,,28
