subid,vers,block,trial,rewlvl,efflvl,congruency,targetresp,distractorresp,rollingefflvl,resp,rt,acc,fast,accrt,isrewarded,ismiss,runavgrrgen,runavgrrcond,zrt,acczrt,rtthreshold,isdisterror,isranderror,congruence,feedback,fcz_resp_theta,fcz_resp_theta_baseline
14,104,2,213,-0.5,0.5,-0.5,4,4,0.2,4,629,1,1,629,1,0,0.2,0.4,-0.568061394354983,-0.568061394354983,750,1,0,congruent,0.1,811.410858104207,3294.77393169043
14,104,2,214,0.5,-0.5,0,1,NaN,0.4,3,938,0,0,NaN,1,0,0.4,NaN,1.91842091717562,NaN,750,0,1,neutral,1,915.312519108858,3480.46947368581
14,104,2,216,0.5,0.5,-0.5,2,2,0.4,2,897,1,0,897,0,0,0.6,NaN,1.58849931596929,1.58849931596929,750,1,0,congruent,0,4193.41847268391,1042.53660240836
14,104,2,217,0.5,-0.5,-0.5,1,1,0.4,1,739,1,1,739,0,0,0.6,NaN,0.317094121076623,0.317094121076623,750,1,0,congruent,0,822.043718126761,1031.4301471992
14,104,2,218,-0.5,0.5,0,3,NaN,0.4,3,676,1,1,676,1,0,0.6,0.4,-0.189858583216024,-0.189858583216024,750,0,0,neutral,0.1,5630.80190820108,4512.41913429519
14,104,2,221,0.5,0.5,-0.5,2,2,0.4,2,755,1,0,755,0,0,0.2,NaN,0.445844014230311,0.445844014230311,750,1,0,congruent,0,1875.33014062396,2365.85842402916
14,104,2,222,0.5,-0.5,0.5,4,3,0.4,4,993,1,0,993,1,0,0.2,NaN,2.36099867489142,2.36099867489142,750,0,0,incongruent,1,3999.33622024687,1798.5886604919
14,104,2,223,0.5,0.5,0,1,NaN,0.4,1,915,1,0,915,0,0,0.6,NaN,1.73334294576719,1.73334294576719,750,0,0,neutral,0,1528.44823781177,4842.65505157778
14,104,2,225,0.5,0.5,-0.5,4,4,0.2,4,738,1,1,738,1,0,0.4,NaN,0.309047252754517,0.309047252754517,750,1,0,congruent,1,2764.79531319236,1651.78895446007
14,104,2,226,0.5,-0.5,0,3,NaN,0.4,3,742,1,1,742,0,0,0.8,NaN,0.341234726042939,0.341234726042939,750,0,0,neutral,0,1062.92788198703,1683.02795377615
14,104,2,227,0.5,-0.5,0.5,2,3,0.4,2,757,1,0,757,0,0,0.8,NaN,0.461937750874522,0.461937750874522,750,0,0,incongruent,0,2961.17498477145,897.317685121436
14,104,2,229,-0.5,0.5,-0.5,2,2,0.4,2,607,1,1,607,1,0,0.6,0.6,-0.745092497441304,-0.745092497441304,750,1,0,congruent,0.1,2410.01589410187,783.170244367334
14,104,2,230,0.5,-0.5,0.5,1,3,0.6,1,706,1,1,706,0,0,0.8,NaN,0.0515474664471409,0.0515474664471409,750,0,0,incongruent,0,2896.76826915706,843.876343921383
14,104,2,232,0.5,-0.5,0.5,3,1,0.6,3,605,1,1,605,1,0,0.8,NaN,-0.761186234085515,-0.761186234085515,750,0,0,incongruent,1,379.257604385774,991.453230675914
14,104,2,233,0.5,0.5,0.5,2,3,0.6,2,604,1,1,604,1,0,1.2,NaN,-0.769233102407621,-0.769233102407621,750,0,0,incongruent,1,1255.08027813366,3293.97928894234
14,104,2,234,-0.5,0.5,0,3,NaN,0.8,3,624,1,1,624,1,0,1.4,0.8,-0.60829573596551,-0.60829573596551,750,0,0,neutral,0.1,2692.95222063364,1094.07301120167
14,104,2,235,0.5,-0.5,-0.5,1,1,1,1,767,1,0,767,1,0,1.4,NaN,0.542406434095577,0.542406434095577,750,1,0,congruent,1,866.509586600712,2655.93176534153
14,104,2,236,-0.5,-0.5,0,3,NaN,1,3,602,1,1,602,1,0,1.8,0.2,-0.785326839051832,-0.785326839051832,750,0,0,neutral,0.1,927.062342204687,782.817633941764
14,104,2,237,-0.5,0.5,-0.5,1,1,1,1,749,1,1,749,1,0,1.6,0.8,0.397562804297678,0.397562804297678,750,1,0,congruent,0.1,2548.42853194596,787.443617998265
